code, width, action, veg, votes, height
n73*i<p>4g,9,buy,Swede,1243,   2.04
r53*b<n>9d,12,sell,Onion,1924,   1.17
w97*v<t>6u,10,sell,Cabbage,1399,   2.09
i33*q<z>1c,6,sell,Okra,2379,   1.81
b23*z<q>3m,14,sell,Marrow,2687,   1.20
m37*x<l>1v,8,buy,Broccoli,2959,   2.11
p11*u<p>9z,23,sell,Marrow,2773,   1.40
k81*a<j>4h,20,sell,Okra,977,   2.05
q75*a<v>5m,11,sell,Kale,1212,   1.40
j34*q<g>7k,7,buy,Corn,1095,   1.82
f18*s<x>4m,12,sell,Yam,126,   2.04
p72*n<v>5x,9,sell,Carrot,118,   1.22
u49*j<z>4g,8,sell,Pea,2358,   1.23
x43*w<y>4c,7,buy,Turnip,1832,   2.06
v2*b<j>3p,22,buy,Swede,2438,   1.87
f76*e<f>2r,9,sell,Mooli,1968,   1.99
w79*gzw>4i,7,sell,Corn,1738,   2.07
e37*q<d>1w,19,sell,Marrow,2231,   1.34
i11*k<l>4f,5,sell,Carrot,833,   1.94
p75*z<j>1u,21,buy,Cabbage,2745,   1.34
v85*y<t>5c,18,buy,Turnip,1121,   1.90
r64*w<v>1k,9,sell,Kale,176,   1.90
x52*d<p>3l,18,sell,Kale,2728,   1.77
w00*h<c>2y,20,sell,Marrow,394,   1.90
k99*x<h>0l,6,buy,Beetroot,782,   1.86
m65*p<h>0h,15,sell,Parsnip,1696,   1.93
o57*j<b>0h,21,sell,Marrow,2691,   1.04
a17*s<l>5i,9,sell,Kale,2428,   2.15
w20*o<n>1r,15,sell,Potato,81,   1.85
c21*a<h>2m,11,buy,Parsnip,1912,   1.54
f10*r<j>9s,15,sell,Marrow,412,   1.84
p48*a<c>5r,9,buy,Pea,234,   2.07
v95*z<x>9p,6,sell,Swede,1170,   2.11
s55*k<z>8t,5,buy,Broccoli,2925,   1.77
e35*f<h>2c,12,sell,Parsnip,2210,   0.98
z27*h<i>7t,20,sell,Potato,2834,   1.52
b39*x<r>2i,15,sell,Swede,565,   2.11
h29*z<g>9w,11,sell,Corn,1084,   1.37
pu2*h<y>0s,5,sell,Yam,166,   1.85
k11*e<zd9n,6,sell,Okra,2165,   1.92
n73*f<j>5r,11,sell,Sprout,2796,   1.99
z02*c<a>7j,5,sell,Potato,1312,   1.91
f84*n<h>9v,6,sell,Marrow,76,   1.88
r16*t<a>2i,24,sell,Parsnip,2418,   1.98
j25*c<q>8f,7,buy,Marrow,2551,   1.93
t88*e<d>3w,13,sell,Sprout,1589,   1.38
u17*n<o>3m,5,sell,Sprout,943,   1.54
f71*a<u>0z,6,sell,Pea,1682,   1.89
r92*f<v>4p,14,sell,Kale,2320,   2.10
t56*r<f>9m,11,sell,Broccoli,1789,   1.97
w84*a<d>0m,12,sell,Parsnip,2263,   2.03
e44*m<x>4q,10,buy,Parsnip,2203,   2.09
m11*y<e>3h,8,sell,Cabbage,1312,   2.06
z65*a<y>6u,10,buy,Mooli,1053,   1.86
b86*p<s>5z,11,sell,Marrow,2823,   2.11
h95*u<t>7x,7,buy,Leek,177,   1.98
s84*i<v>6c,12,buy,Carrot,1603,   2.11
w60*r<c>9r,12,sell,Onion,150,   1.81
l00*f<m>6d,8,sell,Corn,132,   2.04
v57*r<w>1v,15,buy,Turnip,2542,   1.03
