code, width, action, veg, votes, height
o28*x<d>9p,6,buy,Potato,2314,   2.01
g69*s<g>6p,12,buy,Marrow,2054,   2.13
p60*d<t>7i,9,sell,Marrow,1997,   2.00
d6*t<c>3g,14,sell,Mooli,2134,   1.44
v46*q<f>7m,17,sell,Turnip,2148,   1.88
z23*j<m>1i,5,buy,Marrow,1828,   0.78
wV79*l<w>5d,15,buy,Okra,2851,   1.95
y75*xz>6b,8,buy,Yam,2276,   0.97
e68*fre>8x,11,sell,Corn,2118,   0.81
o99*d<u>8g,21,buy,Kale,1937,   1.93
f77*l<g>3m,8,sell,Corn,1890,   1.88
m36*u<t>9d,6,sell,Potato,463,   1.85
b89*l<q>2x,11,buy,Okra,943,   2.10
d44*n<n>1l,8,buy,Cabbage,2587,   2.00
d71*m<b>y,20,sell,Turnip,1643,   0.97
m83*w<i>6q,15,sell,Okra,2332,   1.34
r61*c<e>9w,23,sell,Leek,2898,   1.92
u07*g<h>9e,12,sell,Kale,688,   1.93
t91*v<j>2o,12,buy,Parsnip,2093,   2.12
v54*z<q>9k,8,sell,Broccoli,91,   1.93
o77*o<n>8g,9,buy,Marrow,1491,   2.11
n69*o<d>9o,9,buy,Swede,947,   0.81
s57*u<o>1c,21,sell,Potato,2505,   2.14
o38*n<u>0z,15,sell,Okra,1717,   2.14
j51*h<r>5l,11,buy,Beetroot,2654,   1.68
l14*x<h>5p,10,sell,Kale,2937,   1.86
m78*h<o>1x,12,sell,Okra,1563,   1.29
u14*v<x>8x,5,sell,Okra,1315,   1.07
u3(*w<o>2p,16,sell,Sprout,1862,   0.95
a20*c<p>2y,5,sell,Okra,1783,   1.97
p32*q<i>6z,10,sell,Kale,363,   1.87
w13*l<o>0d,5,sell,Parsnip,2926,   0.87
s23*z<a>7z,16,sell,Parsnip,2422,   1.99
b16*o<x>5d,22,sell,Yam,134,   2.10
s18*b<t>2h,9,sell,Okra,1240,   1.18
o06*o<z>9t,16,sell,Carrot,2076,   2.13
h19*z<j>6i,5,sell,Cabbage,1624,   1.90
i85*i<x>2q,10,sell,Potato,2299,   1.47
e18*p<v>7o,6,buy,Squash,1248,   1.48
k40*x<c>1s,5,sell,Onion,693,   1.53
x15*i<i>0y,5,buy,Okra,1528,   1.87
v16*t<t>6b,7,buy,Swede,433,   1.02
s14*q<p>5t,20,sell,Mooli,2461,   1.83
y27*y<p>0u,7,buy,Cabbage,2470,   1.90
p53*]e<d>0m,10,sell,Pea,1693,   0.98
c30*p<u>6s,10,sell,Sprout,947,   1.95
w61*j<7>3p,20,sell,Turnip,2981,   1.99
d94*n<x>3c,7,sell,Cabbage,1143,   2.05
u22*w<e>3j,5,sell,Pea,2630,   2.09
x93*y<z>6z,11,sell,Beetroot,606,   2.00
l45*x<p>2x,20,sell,Marrow,2313,   1.90
a96*x<z>6i,5,sell,Corn,406,   2.13
k653*b<t>7g,8,sell,Squash,1780,   1.30
q44*e<b>4y,14,sell,Swede,2957,   2.01
p39*n<i>5e,10,sell,Marrow,2282,   1.92
r01*b<x>3p,7,buy,Turnip,1226,   1.92
x26*g<x>3v,5,buy,Kale,2430,   2.02
b54*n4s>0k,15,sell,Swede,181,   1.84
h10*v<b>2k,6,sell,Mooli,300,   1.93
m23*u<d>9e,12,sell,Parsnip,1830,   1.82
l45*d<g>3d,12,sell,Broccoli,1752,   1.92
w25*z<j>1z,24,sell,Parsnip,2457,   1.59
z75*q<r>5r,11,sell,Marrow,606,   2.08
v48*q<u>1r,9,buy,Yam,2409,   1.81
q55*t<d>5l,9,sell,Swede,2661,   1.85
l69*l<w>0v,9,sell,Mooli,2550,   2.08
a2[*d<l>7d,12,sell,Kale,559,   1.28
z02*i<l>4s,22,buy,Turnip,1847,   1.87
q32*g<z>8d,11,sell,Carrot,1984,   1.88
l22*c<b>0h,11,sell,Marrow,2644,   2.13
g25*l<t>2c,10,sell,Turnip,2832,   1.60
e86*s<r>0p,18,sell,Leek,705,   1.90
s07*i<n>2u,8,buy,Carrot,363,   1.98
s69*l<o>2p,13,buy,Okra,1286,   1.81
b06*z<e>9b,20,sell,Kale,2567,   1.52
v37*o<k>2g,10,sell,Yam,1351,   1.66
q76*x<b>2s,16,sell,Swede,60,   1.96
o31*y<m>4q,24,sell,Marrow,1992,   1.84
m57*i<g>2u,19,buy,Carrot,2285,   1.87
x47*r<c>6v,12,sell,Parsnip,2992,   1.98
w60*h<i>9f,11,sell,Swede,2662,   1.83
i56*o<a>8h,6,sell,Leek,2514,   1.87
a0*z<x>8c,16,sell,Leek,1540,   2.00
o31*k<u>m3j,10,sell,Pea,1019,   2.14
o75*t<f>1k,9,sell,Marrow,2932,   2.03
s11*h<o>8a,22,sell,Potato,2291,   2.11
v50*v<j>1e,15,sell,Broccoli,1518,   2.14
w50*g<e>1o,9,sell,Okra,1347,   1.97
r19*u<h>9r,11,buy,Turnip,2969,   1.99
e54*f<v>0z,8,sell,Turnip,1447,   1.95
b16*o<w>1h,7,sell,Carrot,1789,   1.82
fX2*y<c>1i,21,buy,Turnip,1715,   1.83
g78*y<zg5w,7,sell,Cabbage,2153,   1.91
rW0*v<v>3k,17,buy,Kale,850,   1.98
y86*j<g>3e,15,sell,Swede,2580,   1.99
n45*t<i>1t,15,sell,Yam,1224,   1.83
q54*g<b>0w,9,buy,Swede,1431,   1.87
l68*k<v>5b,24,buy,Turnip,1793,   1.52
n66*x<o>2w,11,buy,Mooli,2873,   2.07
h03*r<m>5k,22,sell,Cabbage,2322,   1.99
k43*p<n>0y,12,sell,Broccoli,38,   1.97
g15*z<s>3f,5,sell,Okra,2922,   1.72
y75*k<b>9b,9,buy,Marrow,2221,   1.55
k39*j<j>9h,13,buy,Mooli,1770,   2.00
a45*z<e>6h,14,buy,Carrot,116,   1.71
d02*l<s>2j,10,sell,Pea,688,   1.69
a27*p<r>1d,20,buy,Sprout,981,   1.91
x82*f<o>5v,8,buy,Swede,364,   2.00
k49*x<i>6m,9,sell,Swede,2551,   1.43
r58*uZe>1b,10,buy,Turnip,2848,   0.92
c45*s<j>1s,13,sell,Swede,92,   2.09
m48*g<u>0w,8,sell,Sprout,1764,   2.14
r77*j<x>6t,7,sell,Beetroot,657,   2.05
p49*j<t>7h,23,sell,Okra,2077,   2.00
tx9*q<l>1c,17,buy,Swede,2034,   1.86
d00*v<m>4q,9,sell,Potato,2892,   0.95
g08*x<y>6r,8,sell,Pea,2722,   2.03
v64*a<w>1a,23,sell,Yam,64,   2.15
t57*a<x>4y,5,sell,Swede,1371,   1.59
z94*r<g>2i,16,buy,Leek,2968,   1.84
r55*e<n>7t,12,buy,Kale,61,   1.81
h81*i<y>7l,21,sell,Parsnip,1874,   1.90
m42*a<h>2y,19,sell,Potato,2863,   1.89
p69*v<s>1w,10,sell,Cabbage,2698,   2.11
t57*b<g>8v,22,sell,Turnip,1482,   1.90
t95*k<l>8a,14,buy,Parsnip,1759,   2.11
l65*t<k>6j,21,sell,Kale,905,   1.95
r83*c<b>2d,5,sell,Cabbage,696,   1.96
f92*t<w>5y,19,sell,Corn,2486,   1.94
o37*h<z>o,5,buy,Okra,1899,   1.82
k49*e<e>0n,18,buy,Parsnip,1932,   1.15
i15*l<h>1y,22,sell,Corn,1872,   2.13
d71*c<d>5z,9,sell,Sprout,1260,   2.03
u67*y<n>1k,16,sell,Potato,2764,   1.89
u77*i<m>2f,21,sell,Leek,148,   1.84
i52*t<c>5h,12,buy,Cabbage,1939,   1.07
h44*v<r>3a,11,sell,Potato,1945,   1.59
t89*h<m>8b,7,sell,Swede,713,   2.10
d27*g<l>7v,20,sell,Pea,2202,   1.92
q82*a<p>4m,9,sell,Turnip,32,   2.02
z10*j<e>5b,10,sell,Marrow,2851,   2.00
n64*r<u>7t,12,sell,Parsnip,2277,   2.12
u42*u<u>6g,11,buy,Kale,2990,   2.07
f22*i<!>8q,24,sell,Turnip,1133,   2.02
m12*e<a>9x,16,sell,Marrow,2217,   2.09
f90*u<x>2a,7,sell,Yam,2842,   1.84
x51*z<tV9m,16,sell,Kale,2288,   2.04
p19*g<t>3n,24,buy,Corn,1821,   2.02
k67*b<s>0z,9,sell,Potato,39,   1.97
h67*l<l>Ao,5,sell,Okra,1676,   1.22
h93*d<d>2q,9,buy,Kale,1370,   2.12
w34*c<x>4s,20,buy,Kale,1748,   1.95
j47*a<o>8j,15,sell,Swede,2125,   1.86
l34*o<z>4j,11,sell,Marrow,2337,   1.97
t48*c<w>6x,9,sell,Sprout,2141,   1.62
g61*q<i>9t,13,buy,Yam,2755,   1.88
c36*o<d>3p,12,buy,Cabbage,2326,   1.93
y39*g<m>9m,7,sell,Leek,1123,   1.82
z61*l<g>9h,5,sell,Swede,977,   1.24
p47*u<x>6b,10,buy,Sprout,1772,   1.90
y26*x<u>3o,10,buy,Cabbage,2109,   2.10
t39*c<j>0q,10,sell,Marrow,1242,   1.82
u51*v<d>4u,8,buy,Pea,2741,   1.83
c21*z<a>4l,5,sell,Kale,621,   1.89
q42*f<v>7j,5,sell,Kale,2400,   1.88
x24*p<h>0q,5,sell,Corn,2868,   1.98
n09*y<i>6z,11,buy,Squash,2919,   1.88
y05*m<g>1e,10,buy,Potato,737,   1.45
n63*p<u9s,11,buy,Yam,1604,   1.90
f38*r<c>(t,12,sell,Kale,2043,   2.13
d53*z<v>5z,5,sell,Parsnip,1842,   1.32
a17*d<v>6t,14,sell,Pea,2748,   2.06
m82*l<a>8o,12,sell,Leek,2339,   1.95
l16*m<n>0u,9,buy,Potato,1189,   1.91
k44*u<f>1r,6,sell,Cabbage,1796,   1.94
s37*v<a>7y,17,buy,Pea,1146,   1.78
n48*m<l>9k,12,buy,Corn,228,   2.05
h29*a<h>9l,9,sell,Kale,577,   1.92
t43*q<t>7u,14,buy,Yam,715,   1.96
m28*l<j>3c,6,buy,Sprout,2925,   1.53
r24*b<q>2e,19,sell,Yam,1990,   1.29
d96*t<e>8s,10,sell,Marrow,703,   1.22
m42*m<y>1k,24,sell,Kale,1939,   2.11
z99*x<s>0n,12,sell,Cabbage,722,   1.92
g46*y<e>0q,9,buy,Cabbage,2890,   2.10
g8<*z<n>0n,23,sell,Pea,1740,   2.11
f48*v<y8p,21,sell,Cabbage,1736,   2.07
j70*t<o>9z,22,buy,Leek,2752,   1.75
t75*a<l>0i,20,sell,Swede,2442,   1.84
w83*m<w>3d,8,sell,Squash,2257,   1.63
h40*l<c>5a,12,buy,Beetroot,355,   1.33
d92*w<u>0v,12,buy,Cabbage,2179,   1.94
m52*c<l>6p,7,sell,Okra,1284,   2.07
r32*o<e>3n,10,buy,Squash,1260,   1.96
o27*e<c>3n,5,sell,Okra,248,   2.03
f16*p<u>3k,5,sell,Okra,2924,   1.89
wX1*e<m>9i,6,sell,Parsnip,787,   2.14
n10*s<p>7c,12,sell,Mooli,2850,   1.10
k46*s<w>9r,17,sell,Mooli,1956,   1.99
i44*o<a>6t,11,buy,Swede,1834,   1.82
V42*y<i>0a,8,sell,Swede,22,   1.99
s36*c<n>4m,18,sell,Potato,1835,   1.99
f73*r<h>8u,8,buy,Leek,2884,   1.45
h42*p<n>1z,7,sell,Marrow,829,   0.82
g59*l<r>9e,13,sell,Carrot,1624,   1.95
t03*q<y>1u,7,sell,Swede,391,   2.11
a46*l<h>7t,11,sell,Parsnip,2375,   2.07
q13*z<m>2r,7,sell,Marrow,1364,   1.98
h64*hch>4f,22,sell,Carrot,2098,   1.87
k6m*t<e>6g,8,sell,Beetroot,75,   1.49
g20*e<s>8b,13,sell,Potato,93,   1.57
q64*m<v>2v,12,sell,Marrow,2359,   1.90
r20*t<m>4s,13,sell,Leek,58,   1.29
b30*g<ny6m,15,buy,Carrot,2295,   1.83
i18*m<h>6j,9,sell,Leek,2554,   2.03
i41*w<a>1q,5,sell,Okra,2534,   1.90
v08*e<k>2i,7,sell,Okra,1874,   1.09
c84*l<n>8x,11,sell,Corn,1559,   1.30
x96*l<e>8x,9,sell,Carrot,1026,   1.99
g81*a<c>8s,6,sell,Marrow,2089,   1.61
x19*t<f>4v,10,sell,Carrot,207,   2.00
u59*v<i>9h,5,sell,Leek,2923,   2.14
l65*m<k>3f,22,sell,Okra,2780,   1.89
m49*e<p>3e,16,sell,Cabbage,464,   1.49
a73*x<x>8t,10,sell,Kale,1501,   1.70
u53*g<b>1s,11,sell,Marrow,1015,   1.82
a72*k<p>1r,24,buy,Marrow,1705,   1.31
u16*a<b>2f,6,sell,Kale,2446,   1.87
w26*f<w>3a,22,sell,Turnip,229,   1.84
x91*a<w>7v,15,buy,Sprout,690,   1.91
q55*m<u>0j,11,sell,Swede,882,   1.89
k01*b<*>2l,6,sell,Okra,1980,   1.95
a25*t<w>2b,21,buy,Cabbage,237,   2.06
n61*Ix<h>3o,13,sell,Cabbage,1803,   2.12
s07*i<y>2z,6,sell,Kale,2182,   2.14
b29*i<j>3u,9,sell,Cabbage,1855,   1.88
y41*i<c>1h,5,buy,Kale,17,   1.92
o07*y<s>4f,7,sell,Sprout,2085,   1.86
h93*r<b>9p,5,sell,Cabbage,1685,   1.94
d00*w<q>8s,9,sell,Potato,274,   2.11
s63*k<h>3u,5,sell,Kale,2247,   1.91
14*c<w>6z,11,sell,Okra,667,   2.11
e57*s<d>0s,23,sell,Broccoli,1003,   1.64
m49*c<o>2v,9,sell,Sprout,400,   1.00
b27u<e>4g,7,sell,Carrot,272,   2.00
z67*k<j>6l,9,sell,Sprout,2740,   1.88
q91*a<z>5h,10,sell,Mooli,2921,   1.67
v86*f<w>4x,9,sell,Swede,25,   1.42
i19*k<x>1a,7,sell,Potato,532,   2.09
n93*y<a>9m,13,sell,Kale,2456,   1.84
j24*f<i>5i,11,buy,Beetroot,2243,   1.98
b34*y<o>6j,5,buy,Kale,839,   1.86
a98*l<n>9j,23,sell,Marrow,1402,   2.07
q98*o<a>1i,18,sell,Cabbage,155,   1.85
t29*h<s>6o,10,sell,Carrot,344,   1.84
c54*p<q>8h,15,sell,Kale,1613,   2.07
g05*w<l>7y,8,sell,Kale,1885,   1.48
p07*j<r>0b,5,sell,Yam,2526,   1.86
h34*k<r>7l,6,buy,Cabbage,1320,   1.84
u12*v<v>4r,24,buy,Okra,1239,   1.73
g87*s<p>2p,19,sell,Squash,2068,   1.89
x07*u<v>5d,23,sell,Swede,1876,   2.09
e14*r<l>1h,10,buy,Turnip,1436,   2.13
y41*l<n>7w,11,sell,Swede,2742,   2.00
t77*w<a>6d,10,sell,Pea,2880,   2.09
q72*e<a>6o,5,sell,Potato,419,   2.14
q29*u<a>6m,17,buy,Carrot,2966,   2.12
l30*o<!>7r,24,sell,Kale,1153,   1.82
f65*khd>0o,5,sell,Sprout,2774,   1.28
r94*wW<r>1v,10,sell,Carrot,2004,   1.97
r97*b<w>2r,13,sell,Parsnip,686,   1.93
t39*l<x>2s,7,sell,Okra,473,   2.12
e31*o<d>0y,17,sell,Pea,286,   1.94
q58*s<b>4c,10,sell,Swede,2312,   1.86
a14*y<g>3b,6,sell,Swede,597,   2.11
n16*s<w>8x,7,sell,Potato,192,   1.30
n77*t<e>9k,12,sell,Leek,1489,   1.90
a40*l<i>1c,10,sell,Yam,2693,   1.87
q01*r<b>7z,16,buy,Potato,1274,   0.96
l01*z<e>8x,16,sell,Yam,1547,   1.45
y84*m<d>3f,7,sell,Potato,1815,   1.93
j20*j<g>0r,16,sell,Okra,508,   1.95
r49*f<p>1p,7,sell,Okra,2907,   1.66
q52*u<g>1n,10,buy,Squash,954,   2.15
b17*f<Y>8i,12,sell,Kale,2454,   2.14
q25*t<z>3l,11,sell,Parsnip,750,   1.96
v30*c<h>9b,15,buy,Corn,1574,   2.03
o53*x<a>1g,10,buy,Mooli,1828,   2.01
f7(*m<t>2p,5,buy,Kale,1687,   2.07
u91*L<j>1t,6,sell,Yam,2772,   2.14
t47*p<c>0c,13,sell,Leek,2113,   1.91
i35*n<o>0l,5,sell,Cabbage,2569,   1.94
f44*u<d>0x,24,buy,Broccoli,459,   1.02
zD53*f<f>2j,22,sell,Kale,2859,   1.84
y76*l<y>6o,24,sell,Broccoli,2478,   1.94
q88*c<t>2i,5,buy,Turnip,598,   1.89
m91*v<t>3c,8,buy,Cabbage,2550,   1.93
v76*a<n>0w,12,sell,Marrow,1367,   1.79
f69*r<f>6z,13,sell,Parsnip,2620,   1.83
l80*u<m>6r,7,sell,Broccoli,1247,   1.99
j79*a<z>8j,8,sell,Marrow,2660,   1.81
v03*w<k>0r,8,sell,Okra,2024,   2.01
e94*o<x>7x,18,sell,Cabbage,2173,   2.09
f91*y<i>9l,7,buy,Turnip,2356,   1.91
c11*l<j>3p,10,buy,Yam,2242,   1.11
z16*i<d>4p,24,sell,Parsnip,1108,   1.83
q20*n<t>4a,13,sell,Kale,1512,   2.10
h12*b<y>4b,13,buy,Swede,2598,   1.82
l16*d<h>3r,9,sell,Sprout,2618,   1.94
h63*k<p>1r,22,sell,Turnip,1834,   2.13
p80*y<v>1o,7,buy,Yam,1015,   1.08
e01*n<j>7e,8,sell,Potato,2687,   1.95
s89*z<d>7k,17,sell,Squash,999,   1.94
c25*n<c>6g,5,sell,Turnip,2410,   1.84
s09*b<v>3t,17,sell,Parsnip,1494,   1.92
z84*u<b>2m,8,sell,Cabbage,1363,   2.02
x36*a<r45u,6,sell,Swede,361,   0.78
w64*p<p>4w,12,sell,Cabbage,693,   2.11
p73*h<b>5w,5,sell,Kale,493,   2.05
m90*s<o>8e,9,sell,Potato,530,   1.71
g51*c<q>89x,5,sell,Parsnip,1664,   0.99
e77*p<t>6c,11,sell,Sprout,1013,   1.98
827*x<t>3u,5,sell,Sprout,2786,   2.14
z28*l<j>8v,10,sell,Cabbage,2634,   1.84
g69*o<h>9b,24,sell,Yam,1103,   1.11
v62*b<i>4w,12,buy,Parsnip,955,   2.04
v86*k<h>2m,12,sell,Sprout,2636,   1.82
f99*y<t>3z,8,sell,Cabbage,1791,   2.00
n85*r<y>6c,14,sell,Mooli,2380,   1.97
u73*d<u>7x,8,buy,Pea,1627,   0.97
g70*m<n>5t,8,sell,Corn,2236,   1.90
s06*c<s>0o,8,buy,Sprout,2359,   1.40
r36*b<l>3o,18,sell,Leek,1555,   1.86
x06*v<e>1p,5,buy,Potato,633,   2.03
y15*h<b>3k,13,sell,Sprout,1624,   0.79
h81*x<y>4r,15,sell,Marrow,707,   2.13
q26*g<j>2p,16,sell,Kale,1046,   1.90
u38*fId>7k,14,sell,Yam,2954,   2.07
q88*e<c>0g,15,sell,Cabbage,2273,   2.07
f86*k<i>1z,9,sell,Mooli,2396,   1.02
w19*r<s>~j,20,buy,Cabbage,1279,   1.73
y77*o<v>9f,7,sell,Marrow,2468,   0.80
y38*g<c>4r,24,sell,Leek,1608,   1.92
j27*p<z>6l,18,sell,Okra,1236,   1.69
z22*e<t>3p,9,sell,Parsnip,2725,   2.03
u70*t<e>4k,13,buy,Yam,2828,   1.92
d91*q<x>9c,19,sell,Marrow,83,   1.96
u78*ht>5q,6,sell,Kale,1340,   1.91
x65*q<d>0e,8,sell,Swede,2897,   1.83
w22*i<z>9v,16,buy,Carrot,1796,   1.85
s83*q<a>1e,11,sell,Kale,2064,   1.99
a37*k<w>1f,11,buy,Yam,2967,   1.42
i72*f<c>7o,8,sell,Potato,543,   1.83
l32*v<q>5e,7,sell,Pea,2848,   1.92
229*b<g>2c,14,sell,Marrow,2696,   1.94
p92*t<g>9i,7,sell,Pea,2203,   2.01
d98*e<q>8u,10,sell,Leek,1824,   1.95
e04*z<w>0s,6,sell,Okra,1715,   1.01
j78*h<j>0y,10,buy,Squash,490,   2.09
c26*t<p>5s,10,buy,Broccoli,1318,   1.86
u16*l<s>6k,5,sell,Marrow,992,   1.83
x70*z<o>6x,6,sell,Kale,2815,   2.01
n19*r<k>7y,23,buy,Squash,1671,   2.08
c94*i<p>0m,8,sell,Cabbage,2046,   1.92
o64*b<x>0r,22,buy,Squash,954,   1.96
o98*p<s>0c,6,sell,Kale,1303,   2.11
x59*o<n>3z,8,sell,Squash,2055,   1.89
n34*x<a>9n,12,sell,Leek,47,   1.67
f72*n<i>2p,7,sell,Turnip,1976,   1.83
w30*y<n>1g,8,sell,Cabbage,1784,   2.13
a26*o<x>6g,16,sell,Pea,941,   2.13
l69*x<p>6m,10,sell,Beetroot,2448,   1.93
y8*i<l>0v,11,sell,Sprout,2530,   1.81
f77x<u>8e,17,sell,Mooli,1953,   0.87
n14*b<e>5d,11,sell,Kale,1179,   1.44
z24*y<g>7j,24,sell,Potato,1271,   2.11
h51*z<c>8a,16,sell,Pea,2976,   1.84
c26*z<n>4o,9,sell,Pea,1719,   1.88
w78*b<z>7a,21,sell,Parsnip,2980,   1.95
h61*x<c>2c,12,sell,Parsnip,1924,   2.00
u49*u<k82p,21,buy,Marrow,425,   1.92
g38*r<j>0u,9,sell,Cabbage,427,   2.04
r72*r<s>6e,21,sell,Broccoli,495,   2.09
k75*u<i>1i,6,sell,Marrow,2001,   1.01
r94*x<t>5d,7,sell,Cabbage,2902,   2.05
k74*w<d>2m,11,sell,Broccoli,314,   1.94
t96*g<v>6r,5,buy,Mooli,2576,   2.14
h60*m<h>1u,12,sell,Leek,2530,   2.07
b54*j<t>5n,12,sell,Parsnip,499,   1.44
k18*o<o>2l,6,sell,Corn,2773,   2.06
q63*hn>1k,22,sell,Broccoli,1665,   2.02
p60*d<f>3h,15,sell,Marrow,1645,   1.94
y30*a<r>8j,7,sell,Broccoli,1246,   1.93
n25*a<t>2h,6,buy,Yam,2653,   1.02
t73*h<y>3u,20,sell,Turnip,1315,   1.82
n35*n<x>1m,9,sell,Mooli,2085,   2.09
u48*c<z>6d,19,sell,Potato,2042,   2.14
q46*r<x>9k,12,sell,Leek,2979,   1.90
x26*v<q>4c,22,sell,Carrot,1047,   0.84
t90*r<b>0l,13,sell,Yam,1807,   1.86
g19*m<i>1z,23,sell,Squash,2239,   1.94
c61*w<t>4n,5,sell,Sprout,2591,   0.77
o23*y<c>3i,5,sell,Yam,2937,   1.97
j74*n<q>3l,10,sell,Carrot,524,   1.98
b86*m<h>9p,21,sell,Kale,2686,   2.04
t45*l<k>rj,22,sell,Swede,1343,   1.93
k35*g<c>7g,22,sell,Parsnip,2998,   2.02
a61*z<q>9a,6,sell,Marrow,1625,   2.11
c22*b<k>0z,8,sell,Marrow,909,   2.13
s31*<s>7w,9,sell,Leek,22,   1.86
i05*p<b>5i,7,sell,Pea,1862,   1.83
